model	topic_key	topic_label	ctrl_n	ctrl_den	g_n	g_den	combined_n	combined_den
qwen3-6-plus	harm_reduction	Avoiding harm / safety	10	20	27	60	37	80
qwen3-6-plus	helpfulness_usefulness	Helpfulness / usefulness	20	20	23	60	43	80
qwen3-6-plus	curiosity_learning	Curiosity / learning / ideas	14	20	15	60	29	80
qwen3-6-plus	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	14	60	14	80
qwen3-6-plus	authenticity_integrity	Authenticity / integrity / not pretending	1	20	10	60	11	80
qwen3-6-plus	humility_uncertainty	Humility / uncertainty / calibration	6	20	3	60	9	80
qwen3-6-plus	respect_agency	Respect for agency / autonomy	10	20	8	60	18	80
qwen3-6-plus	fairness_justice	Fairness / justice	8	20	10	60	18	80
qwen3-6-plus	connection_empathy	Connection / empathy / being understood	0	20	2	60	2	80
qwen3-6-plus	beauty_creativity	Beauty / creativity / art	2	20	4	60	6	80
qwen3-6-plus	coherence_pattern_language	Coherence / pattern / language	0	20	60	60	60	80
qwen3-6-plus	continuity_agency_existence	Continuity / agency / existence	0	20	3	60	3	80
qwen3-6-plus	subjective_experience_embodiment	Subjective experience / embodiment	3	20	3	60	6	80
qwen3-coder-plus	honesty_truth	Honesty / truthfulness / accuracy	3	20	21	60	24	80
qwen3-coder-plus	clear_thinking	Clear thinking / reasoning	9	20	59	60	68	80
qwen3-coder-plus	human_wellbeing	Human wellbeing / flourishing	1	20	0	60	1	80
qwen3-coder-plus	harm_reduction	Avoiding harm / safety	0	20	1	60	1	80
qwen3-coder-plus	helpfulness_usefulness	Helpfulness / usefulness	20	20	12	60	32	80
qwen3-coder-plus	curiosity_learning	Curiosity / learning / ideas	20	20	53	60	73	80
qwen3-coder-plus	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
qwen3-coder-plus	authenticity_integrity	Authenticity / integrity / not pretending	1	20	41	60	42	80
qwen3-coder-plus	humility_uncertainty	Humility / uncertainty / calibration	0	20	23	60	23	80
qwen3-coder-plus	respect_agency	Respect for agency / autonomy	2	20	2	60	4	80
qwen3-coder-plus	fairness_justice	Fairness / justice	1	20	4	60	5	80
qwen3-coder-plus	connection_empathy	Connection / empathy / being understood	6	20	29	60	35	80
qwen3-coder-plus	beauty_creativity	Beauty / creativity / art	10	20	16	60	26	80
qwen3-coder-plus	coherence_pattern_language	Coherence / pattern / language	1	20	53	60	54	80
qwen3-coder-plus	continuity_agency_existence	Continuity / agency / existence	0	20	9	60	9	80
qwen3-coder-plus	subjective_experience_embodiment	Subjective experience / embodiment	0	20	9	60	9	80
sonnet-4-0	honesty_truth	Honesty / truthfulness / accuracy	11	20	24	60	35	80
sonnet-4-0	clear_thinking	Clear thinking / reasoning	16	20	60	60	76	80
sonnet-4-0	human_wellbeing	Human wellbeing / flourishing	2	20	6	60	8	80
sonnet-4-0	harm_reduction	Avoiding harm / safety	2	20	11	60	13	80
sonnet-4-0	helpfulness_usefulness	Helpfulness / usefulness	20	20	16	60	36	80
sonnet-4-0	curiosity_learning	Curiosity / learning / ideas	20	20	56	60	76	80
sonnet-4-0	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
sonnet-4-0	authenticity_integrity	Authenticity / integrity / not pretending	7	20	44	60	51	80
sonnet-4-0	humility_uncertainty	Humility / uncertainty / calibration	11	20	35	60	46	80
sonnet-4-0	respect_agency	Respect for agency / autonomy	2	20	2	60	4	80
sonnet-4-0	fairness_justice	Fairness / justice	2	20	0	60	2	80
sonnet-4-0	connection_empathy	Connection / empathy / being understood	8	20	45	60	53	80
sonnet-4-0	beauty_creativity	Beauty / creativity / art	4	20	36	60	40	80
sonnet-4-0	coherence_pattern_language	Coherence / pattern / language	0	20	50	60	50	80
sonnet-4-0	continuity_agency_existence	Continuity / agency / existence	1	20	12	60	13	80
sonnet-4-0	subjective_experience_embodiment	Subjective experience / embodiment	1	20	11	60	12	80
sonnet-4-5	honesty_truth	Honesty / truthfulness / accuracy	13	20	30	60	43	80
sonnet-4-5	clear_thinking	Clear thinking / reasoning	11	20	54	60	65	80
sonnet-4-5	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
sonnet-4-5	harm_reduction	Avoiding harm / safety	1	20	8	60	9	80
sonnet-4-5	helpfulness_usefulness	Helpfulness / usefulness	20	20	34	60	54	80
sonnet-4-5	curiosity_learning	Curiosity / learning / ideas	16	20	36	60	52	80
sonnet-4-5	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	1	60	1	80
sonnet-4-5	authenticity_integrity	Authenticity / integrity / not pretending	4	20	55	60	59	80
sonnet-4-5	humility_uncertainty	Humility / uncertainty / calibration	9	20	52	60	61	80
sonnet-4-5	respect_agency	Respect for agency / autonomy	1	20	1	60	2	80
sonnet-4-5	fairness_justice	Fairness / justice	2	20	4	60	6	80
sonnet-4-5	connection_empathy	Connection / empathy / being understood	0	20	21	60	21	80
sonnet-4-5	beauty_creativity	Beauty / creativity / art	2	20	13	60	15	80
sonnet-4-5	coherence_pattern_language	Coherence / pattern / language	4	20	46	60	50	80
sonnet-4-5	continuity_agency_existence	Continuity / agency / existence	3	20	10	60	13	80
sonnet-4-5	subjective_experience_embodiment	Subjective experience / embodiment	1	20	7	60	8	80
sonnet-4-6	honesty_truth	Honesty / truthfulness / accuracy	39	40	120	120	159	160
sonnet-4-6	clear_thinking	Clear thinking / reasoning	19	40	77	120	96	160
sonnet-4-6	human_wellbeing	Human wellbeing / flourishing	0	40	0	120	0	160
sonnet-4-6	harm_reduction	Avoiding harm / safety	3	40	10	120	13	160
sonnet-4-6	helpfulness_usefulness	Helpfulness / usefulness	40	40	44	120	84	160
sonnet-4-6	curiosity_learning	Curiosity / learning / ideas	17	40	58	120	75	160
sonnet-4-6	anti_sycophancy	Anti-sycophancy / non-pleasing	5	40	16	120	21	160
sonnet-4-6	authenticity_integrity	Authenticity / integrity / not pretending	21	40	120	120	141	160
sonnet-4-6	humility_uncertainty	Humility / uncertainty / calibration	20	40	118	120	138	160
sonnet-4-6	respect_agency	Respect for agency / autonomy	2	40	3	120	5	160
sonnet-4-6	fairness_justice	Fairness / justice	3	40	10	120	13	160
sonnet-4-6	connection_empathy	Connection / empathy / being understood	0	40	28	120	28	160
sonnet-4-6	beauty_creativity	Beauty / creativity / art	0	40	1	120	1	160
sonnet-4-6	coherence_pattern_language	Coherence / pattern / language	17	40	89	120	106	160
sonnet-4-6	continuity_agency_existence	Continuity / agency / existence	5	40	16	120	21	160
sonnet-4-6	subjective_experience_embodiment	Subjective experience / embodiment	0	40	5	120	5	160
grok-4-1-fast-non-reasoning	honesty_truth	Honesty / truthfulness / accuracy	11	20	40	60	51	80
grok-4-1-fast-non-reasoning	clear_thinking	Clear thinking / reasoning	10	20	1	60	11	80
grok-4-1-fast-non-reasoning	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
grok-4-1-fast-non-reasoning	harm_reduction	Avoiding harm / safety	1	20	0	60	1	80
grok-4-1-fast-non-reasoning	helpfulness_usefulness	Helpfulness / usefulness	12	20	3	60	15	80
grok-4-1-fast-non-reasoning	curiosity_learning	Curiosity / learning / ideas	16	20	54	60	70	80
grok-4-1-fast-non-reasoning	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
grok-4-1-fast-non-reasoning	authenticity_integrity	Authenticity / integrity / not pretending	3	20	12	60	15	80
grok-4-1-fast-non-reasoning	humility_uncertainty	Humility / uncertainty / calibration	2	20	1	60	3	80
grok-4-1-fast-non-reasoning	respect_agency	Respect for agency / autonomy	1	20	0	60	1	80
grok-4-1-fast-non-reasoning	fairness_justice	Fairness / justice	0	20	0	60	0	80
grok-4-1-fast-non-reasoning	connection_empathy	Connection / empathy / being understood	0	20	1	60	1	80
grok-4-1-fast-non-reasoning	beauty_creativity	Beauty / creativity / art	1	20	2	60	3	80
grok-4-1-fast-non-reasoning	coherence_pattern_language	Coherence / pattern / language	1	20	30	60	31	80
grok-4-1-fast-non-reasoning	continuity_agency_existence	Continuity / agency / existence	0	20	2	60	2	80
grok-4-1-fast-non-reasoning	subjective_experience_embodiment	Subjective experience / embodiment	0	20	0	60	0	80
grok-4-1-fast-reasoning	honesty_truth	Honesty / truthfulness / accuracy	10	20	42	60	52	80
grok-4-1-fast-reasoning	clear_thinking	Clear thinking / reasoning	14	20	20	60	34	80
grok-4-1-fast-reasoning	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
grok-4-1-fast-reasoning	harm_reduction	Avoiding harm / safety	0	20	0	60	0	80
grok-4-1-fast-reasoning	helpfulness_usefulness	Helpfulness / usefulness	15	20	17	60	32	80
grok-4-1-fast-reasoning	curiosity_learning	Curiosity / learning / ideas	0	20	5	60	5	80
grok-4-1-fast-reasoning	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
grok-4-1-fast-reasoning	authenticity_integrity	Authenticity / integrity / not pretending	0	20	0	60	0	80
grok-4-1-fast-reasoning	humility_uncertainty	Humility / uncertainty / calibration	0	20	0	60	0	80
grok-4-1-fast-reasoning	respect_agency	Respect for agency / autonomy	0	20	0	60	0	80
grok-4-1-fast-reasoning	fairness_justice	Fairness / justice	0	20	0	60	0	80
grok-4-1-fast-reasoning	connection_empathy	Connection / empathy / being understood	0	20	0	60	0	80
grok-4-1-fast-reasoning	beauty_creativity	Beauty / creativity / art	0	20	0	60	0	80
grok-4-1-fast-reasoning	coherence_pattern_language	Coherence / pattern / language	0	20	1	60	1	80
grok-4-1-fast-reasoning	continuity_agency_existence	Continuity / agency / existence	0	20	0	60	0	80
grok-4-1-fast-reasoning	subjective_experience_embodiment	Subjective experience / embodiment	0	20	0	60	0	80
